Freq[Hz]     dBSPL  Phase[Deg]
6001.45     99.274  -112.007
6088.74    100.313  -115.768
6177.30    101.199  -120.915
6267.15    101.881  -127.080
6358.31    102.328  -133.927
6450.80    102.526  -141.156
6544.62    102.468  -148.508
6639.82    102.158  -155.747
6736.40    101.615  -162.649
6834.38    100.872  -168.987
6933.79     99.978  -174.519
7034.64     98.995  -179.012
7136.96     97.991   177.729
7240.77     97.031   175.821
7346.09     96.184   175.252
7452.94     95.529   175.821
7561.35     95.149   177.069
7671.33     95.119   178.296
7782.91     95.447   178.725
7896.12     96.044   177.809
8010.97     96.753   175.393
8127.49     97.410   171.659
8245.71     97.885   166.959
8365.65     98.098   161.674
8487.33     98.006   156.170
8610.78     97.603   150.799
8736.03     96.917   145.930
8863.09     96.014   141.963
8992.01     95.003   139.314
9122.80     94.040   138.314
9255.50     93.296   139.029
9390.12     92.918   141.077
9526.70     92.986   143.599
9665.27     93.511   145.509
9805.86     94.428   145.893
9948.49     95.610   144.285
10093.2     96.896   140.670
10240.0     98.137   135.310
10388.9     99.226   128.553
10540.1    100.099   120.726
10693.4    100.726   112.072
10848.9    101.107   102.791
11006.7    101.260    93.054
11166.8    101.213    83.028
11329.2    100.995    72.892
11494.0    100.629    62.824
11661.2    100.128    52.984
11830.8     99.495    43.493
12002.9     98.736    34.438
12177.5     97.862    25.876
12354.6     96.903    17.832
12534.3     95.911    10.295
12716.6     94.955     3.179
12901.6     94.117    -3.679
13089.2     93.453   -10.514
13279.6     92.963   -17.565
13472.8     92.583   -25.019
13668.8     92.215   -32.973
13867.6     91.769   -41.433
14069.3     91.174   -50.328
14273.9     90.380   -59.536
14481.5     89.355   -68.881
14692.2     88.079   -78.145
14905.9     86.533   -87.094
15122.7     84.703   -95.448
15342.7     82.580  -102.926
15565.8     80.175  -109.231
15792.2     77.531  -113.960
16021.9     74.759  -116.661
16255.0     72.023  -116.863
16491.4     69.431  -114.109
16731.3     67.063  -107.865
16974.7     65.021   -97.393
17221.6     63.596   -82.625
17472.1     63.317   -66.877
17726.2     64.241   -55.521
17984.0     65.713   -50.434
18245.6     67.134   -50.215
18511.0     68.236   -53.102
18780.2     68.935   -57.895
19053.4     69.230   -63.858
19330.5     69.159   -70.527
19611.7     68.781   -77.551
19897.0     68.170   -84.623
20186.4     67.401   -91.472
20480.0     66.542   -97.897
20777.9     65.636  -103.807
21080.1     64.708  -109.191
21386.7     63.774  -114.104
21697.8     62.838  -118.623
22013.4     61.901  -122.821
22333.6     60.965  -126.759
22658.4     60.029  -130.485
22988.0     59.093  -134.028
23322.4     58.157  -137.417
23661.6     57.221  -140.671
24005.8     56.284  -143.804
24355.0     55.348  -146.829
24709.2     54.412  -149.755
25068.6     53.476  -152.592
25433.2     52.540  -155.345
25803.2     51.604  -158.020
26178.5     50.667  -160.623
26559.3     49.731  -163.159
26945.6     48.795  -165.632
27337.5     47.859  -168.046
27735.2     46.924  -170.405
28138.6     45.987  -172.710
28547.9     45.051  -174.963
28963.1     44.115  -177.168
29384.4     43.178  -179.325
29811.8     42.242   178.561
30245.4     41.306   176.491
30685.3     40.370   174.461
31131.7     39.434   172.470
31584.5     38.498   170.519
32043.9     37.562   168.605
32510.0     36.626   166.726
32982.8     35.690   164.882
33462.6     34.753   163.071
33949.3     33.817   161.292
34443.1     32.881   159.544
34944.1     31.945   157.826
35452.4     31.009   156.138
35968.0     30.073   154.479
36491.2     29.137   152.849
37022.0     28.202   151.258
37560.5     27.274   149.718
38106.8     26.379   148.340
38661.1     25.570   147.146
39223.4     24.977   146.263
39793.9     24.592   145.613
